step,phase_index,phase,phase_step,minute,time_label,rr,priority,delta_rr,delta_priority,note
0,0,self_report,0,0.0,00:00,45.451,54.606,0.451,-0.394,Session opened with fresh context from member.
1,0,self_report,1,15.0,00:15,46.888,54.168,1.437,-0.438,
2,0,self_report,2,30.0,00:30,47.007,53.959,0.119,-0.209,
3,0,self_report,3,45.0,00:45,47.711,53.854,0.704,-0.105,
4,0,self_report,4,60.0,01:00,48.229,53.963,0.518,0.109,
5,0,self_report,5,75.0,01:15,49.101,54.357,0.872,0.393,
6,0,self_report,6,90.0,01:30,49.95,54.061,0.848,-0.295,
7,0,self_report,7,105.0,01:45,51.087,53.937,1.137,-0.125,
8,0,self_report,8,120.0,02:00,51.417,53.776,0.33,-0.161,
9,0,self_report,9,135.0,02:15,51.801,53.718,0.384,-0.058,
10,0,self_report,10,150.0,02:30,52.234,53.387,0.434,-0.331,
11,0,self_report,11,165.0,02:45,52.612,53.039,0.377,-0.348,
12,0,self_report,12,180.0,03:00,53.783,52.916,1.172,-0.124,
13,0,self_report,13,195.0,03:15,54.185,52.049,0.402,-0.866,
14,0,self_report,14,210.0,03:30,55.091,51.41,0.905,-0.639,
15,0,self_report,15,225.0,03:45,55.438,51.186,0.347,-0.224,
16,0,self_report,16,240.0,04:00,55.66,50.966,0.222,-0.22,
17,0,self_report,17,255.0,04:15,56.774,50.484,1.114,-0.482,
18,0,self_report,18,270.0,04:30,57.105,49.931,0.331,-0.553,
19,0,self_report,19,285.0,04:45,58.37,49.508,1.265,-0.423,
20,0,self_report,20,300.0,05:00,59.364,49.027,0.994,-0.481,
21,0,self_report,21,315.0,05:15,59.735,48.574,0.371,-0.452,
22,0,self_report,22,330.0,05:30,60.054,48.094,0.319,-0.481,
23,1,corroboration,0,345.0,05:45,61.171,48.134,1.117,0.04,Evidence corroborated; RR accelerating.
24,1,corroboration,1,360.0,06:00,61.815,47.373,0.643,-0.761,
25,1,corroboration,2,375.0,06:15,62.224,46.631,0.41,-0.742,
26,1,corroboration,3,390.0,06:30,62.022,46.246,-0.202,-0.385,
27,1,corroboration,4,405.0,06:45,62.441,46.527,0.419,0.281,
28,1,corroboration,5,420.0,07:00,62.972,45.592,0.531,-0.935,
29,1,corroboration,6,435.0,07:15,63.952,45.198,0.979,-0.394,
30,1,corroboration,7,450.0,07:30,65.138,44.864,1.187,-0.334,
31,1,corroboration,8,465.0,07:45,66.762,44.216,1.623,-0.648,
32,1,corroboration,9,480.0,08:00,67.584,43.674,0.822,-0.542,
33,1,corroboration,10,495.0,08:15,68.065,42.698,0.481,-0.976,
34,1,corroboration,11,510.0,08:30,69.065,41.768,1.0,-0.93,
35,1,corroboration,12,525.0,08:45,69.932,41.653,0.867,-0.115,
36,1,corroboration,13,540.0,09:00,70.799,40.78,0.867,-0.873,
37,1,corroboration,14,555.0,09:15,71.835,40.282,1.037,-0.498,
38,1,corroboration,15,570.0,09:30,72.641,39.928,0.806,-0.354,
39,1,corroboration,16,585.0,09:45,74.138,39.515,1.497,-0.413,
40,1,corroboration,17,600.0,10:00,74.533,39.44,0.395,-0.075,
41,1,corroboration,18,615.0,10:15,74.372,39.069,-0.161,-0.371,
42,1,corroboration,19,630.0,10:30,74.885,38.991,0.513,-0.078,
43,1,corroboration,20,645.0,10:45,75.358,39.454,0.473,0.463,
44,1,corroboration,21,660.0,11:00,76.91,39.547,1.552,0.093,
45,1,corroboration,22,675.0,11:15,77.273,39.275,0.363,-0.272,
46,1,corroboration,23,690.0,11:30,78.602,39.294,1.328,0.02,
47,1,corroboration,24,705.0,11:45,78.321,37.816,-0.281,-1.478,
48,2,contradiction,0,720.0,12:00,77.611,39.517,-0.71,1.701,Contradiction surfaced; recalibrating plan.
49,2,contradiction,1,735.0,12:15,76.154,40.713,-1.457,1.196,
50,2,contradiction,2,750.0,12:30,73.756,41.205,-2.398,0.492,
51,2,contradiction,3,765.0,12:45,71.456,42.677,-2.3,1.472,
52,2,contradiction,4,780.0,13:00,70.186,43.604,-1.27,0.926,
53,2,contradiction,5,795.0,13:15,68.605,45.674,-1.581,2.07,
54,2,contradiction,6,810.0,13:30,66.412,46.722,-2.193,1.048,
55,2,contradiction,7,825.0,13:45,64.272,49.05,-2.14,2.328,
56,2,contradiction,8,840.0,14:00,62.742,50.989,-1.53,1.939,
57,2,contradiction,9,855.0,14:15,61.985,51.765,-0.757,0.776,
58,2,contradiction,10,870.0,14:30,61.086,53.025,-0.899,1.26,
59,2,contradiction,11,885.0,14:45,60.037,54.266,-1.049,1.241,
60,2,contradiction,12,900.0,15:00,59.036,55.698,-1.001,1.432,
61,2,contradiction,13,915.0,15:15,57.045,57.161,-1.99,1.463,
62,2,contradiction,14,930.0,15:30,55.14,57.456,-1.906,0.295,
63,2,contradiction,15,945.0,15:45,53.617,58.135,-1.523,0.679,
64,2,contradiction,16,960.0,16:00,51.984,58.862,-1.633,0.727,
65,2,contradiction,17,975.0,16:15,51.56,60.9,-0.424,2.038,
66,2,contradiction,18,990.0,16:30,49.594,62.71,-1.966,1.809,
67,3,decay,0,1005.0,16:45,49.759,62.163,0.165,-0.547,Follow-ups scheduled; natural decay begins.
68,3,decay,1,1020.0,17:00,49.643,61.905,-0.116,-0.258,
69,3,decay,2,1035.0,17:15,49.816,61.604,0.173,-0.301,
70,3,decay,3,1050.0,17:30,50.913,61.466,1.097,-0.138,
71,3,decay,4,1065.0,17:45,51.056,60.83,0.143,-0.636,
72,3,decay,5,1080.0,18:00,51.101,60.298,0.046,-0.532,
73,3,decay,6,1095.0,18:15,51.089,59.366,-0.012,-0.932,
74,3,decay,7,1110.0,18:30,51.316,58.765,0.227,-0.6,
75,3,decay,8,1125.0,18:45,52.166,58.387,0.85,-0.378,
76,3,decay,9,1140.0,19:00,52.596,58.156,0.43,-0.231,
77,3,decay,10,1155.0,19:15,52.493,57.889,-0.103,-0.267,
78,3,decay,11,1170.0,19:30,52.508,57.473,0.015,-0.416,
79,3,decay,12,1185.0,19:45,52.644,56.677,0.136,-0.796,
80,3,decay,13,1200.0,20:00,53.218,56.524,0.574,-0.153,
81,3,decay,14,1215.0,20:15,53.294,56.563,0.076,0.039,
82,3,decay,15,1230.0,20:30,53.119,55.623,-0.175,-0.94,
83,3,decay,16,1245.0,20:45,53.345,55.136,0.226,-0.487,
84,3,decay,17,1260.0,21:00,53.461,54.741,0.117,-0.396,
85,3,decay,18,1275.0,21:15,53.531,54.249,0.069,-0.492,
86,3,decay,19,1290.0,21:30,53.656,54.2,0.126,-0.048,
87,3,decay,20,1305.0,21:45,53.917,54.374,0.26,0.174,
88,3,decay,21,1320.0,22:00,54.232,54.177,0.315,-0.198,
89,3,decay,22,1335.0,22:15,54.404,53.997,0.172,-0.179,
90,3,decay,23,1350.0,22:30,54.453,53.348,0.049,-0.65,
91,3,decay,24,1365.0,22:45,54.234,52.635,-0.219,-0.713,
92,3,decay,25,1380.0,23:00,54.346,52.497,0.113,-0.138,
93,3,decay,26,1395.0,23:15,54.699,52.6,0.353,0.103,
94,3,decay,27,1410.0,23:30,54.704,51.775,0.005,-0.825,
95,3,decay,28,1425.0,23:45,54.785,51.988,0.081,0.213,
