global_step,day,day_step,phase,phase_step,minute,time_label,rr,priority,delta_rr,delta_priority,note
0,1,0,self_report,0,0.0,00:00,45.926,54.187,0.926,-0.813,Session opened with fresh context from member.
1,1,1,self_report,1,20.0,00:20,46.61,53.9,0.684,-0.286,
2,1,2,self_report,2,40.0,00:40,47.092,52.845,0.482,-1.055,
3,1,3,self_report,3,60.0,01:00,47.4,52.739,0.308,-0.107,
4,1,4,self_report,4,80.0,01:20,48.787,52.451,1.387,-0.287,
5,1,5,self_report,5,100.0,01:40,49.844,52.392,1.057,-0.059,
6,1,6,self_report,6,120.0,02:00,50.24,51.638,0.396,-0.754,
7,1,7,self_report,7,140.0,02:20,50.518,51.193,0.278,-0.445,
8,1,8,self_report,8,160.0,02:40,51.486,50.968,0.968,-0.225,
9,1,9,self_report,9,180.0,03:00,52.009,50.694,0.523,-0.274,
10,1,10,self_report,10,200.0,03:20,53.126,50.236,1.117,-0.459,
11,1,11,self_report,11,220.0,03:40,54.274,50.077,1.148,-0.158,
12,1,12,self_report,12,240.0,04:00,54.734,49.761,0.46,-0.317,
13,1,13,self_report,13,260.0,04:20,56.036,49.406,1.302,-0.355,
14,1,14,self_report,14,280.0,04:40,57.924,48.6,1.887,-0.806,
15,1,15,self_report,15,300.0,05:00,58.975,48.222,1.051,-0.378,
16,1,16,self_report,16,320.0,05:20,59.985,48.174,1.011,-0.048,
17,1,17,corroboration,0,340.0,05:40,61.133,47.544,1.148,-0.63,Evidence corroborated; RR accelerating.
18,1,18,corroboration,1,360.0,06:00,62.292,47.196,1.158,-0.348,
19,1,19,corroboration,2,380.0,06:20,63.292,46.424,1.0,-0.772,
20,1,20,corroboration,3,400.0,06:40,64.595,45.865,1.303,-0.559,
21,1,21,corroboration,4,420.0,07:00,65.316,45.151,0.721,-0.715,
22,1,22,corroboration,5,440.0,07:20,65.987,45.336,0.671,0.185,
23,1,23,corroboration,6,460.0,07:40,67.246,44.768,1.259,-0.568,
24,1,24,corroboration,7,480.0,08:00,68.052,44.304,0.806,-0.464,
25,1,25,corroboration,8,500.0,08:20,69.107,44.064,1.055,-0.24,
26,1,26,corroboration,9,520.0,08:40,69.415,43.396,0.308,-0.669,
27,1,27,corroboration,10,540.0,09:00,70.214,42.967,0.799,-0.428,
28,1,28,corroboration,11,560.0,09:20,70.796,42.232,0.582,-0.735,
29,1,29,corroboration,12,580.0,09:40,71.144,42.428,0.348,0.196,
30,1,30,corroboration,13,600.0,10:00,72.219,41.657,1.076,-0.771,
31,1,31,corroboration,14,620.0,10:20,74.523,40.672,2.303,-0.985,
32,1,32,corroboration,15,640.0,10:40,74.425,40.645,-0.098,-0.027,
33,1,33,corroboration,16,660.0,11:00,76.413,40.258,1.988,-0.387,
34,1,34,corroboration,17,680.0,11:20,77.645,39.757,1.232,-0.501,
35,1,35,corroboration,18,700.0,11:40,77.5,37.185,-0.145,-2.571,
36,1,36,contradiction,0,720.0,12:00,75.23,39.675,-2.27,2.49,Contradiction surfaced; recalibrating plan.
37,1,37,contradiction,1,740.0,12:20,73.607,41.292,-1.623,1.618,
38,1,38,contradiction,2,760.0,12:40,71.969,43.627,-1.638,2.335,
39,1,39,contradiction,3,780.0,13:00,70.117,45.427,-1.852,1.8,
40,1,40,contradiction,4,800.0,13:20,68.703,47.131,-1.415,1.704,
41,1,41,contradiction,5,820.0,13:40,66.197,48.312,-2.506,1.181,
42,1,42,contradiction,6,840.0,14:00,64.053,49.95,-2.144,1.638,
43,1,43,contradiction,7,860.0,14:20,62.72,52.07,-1.333,2.12,
44,1,44,contradiction,8,880.0,14:40,60.658,53.795,-2.062,1.725,
45,1,45,contradiction,9,900.0,15:00,59.401,55.721,-1.257,1.926,
46,1,46,contradiction,10,920.0,15:20,57.788,57.139,-1.613,1.418,
47,1,47,contradiction,11,940.0,15:40,55.619,58.773,-2.168,1.634,
48,1,48,contradiction,12,960.0,16:00,52.327,59.549,-3.292,0.776,
49,1,49,contradiction,13,980.0,16:20,50.199,62.562,-2.128,3.013,
50,1,50,decay,0,1000.0,16:40,50.782,62.149,0.583,-0.412,Follow-ups scheduled; natural decay begins.
51,1,51,decay,1,1020.0,17:00,50.996,61.384,0.214,-0.766,
52,1,52,decay,2,1040.0,17:20,51.244,60.743,0.248,-0.64,
53,1,53,decay,3,1060.0,17:40,51.272,60.049,0.027,-0.694,
54,1,54,decay,4,1080.0,18:00,51.386,59.546,0.114,-0.504,
55,1,55,decay,5,1100.0,18:20,51.199,59.197,-0.187,-0.348,
56,1,56,decay,6,1120.0,18:40,51.474,59.051,0.275,-0.146,
57,1,57,decay,7,1140.0,19:00,52.019,58.612,0.545,-0.439,
58,1,58,decay,8,1160.0,19:20,52.635,58.014,0.617,-0.597,
59,1,59,decay,9,1180.0,19:40,52.211,57.533,-0.425,-0.481,
60,1,60,decay,10,1200.0,20:00,52.319,56.803,0.108,-0.729,
61,1,61,decay,11,1220.0,20:20,52.131,56.712,-0.188,-0.092,
62,1,62,decay,12,1240.0,20:40,52.099,56.131,-0.032,-0.58,
63,1,63,decay,13,1260.0,21:00,52.302,55.772,0.203,-0.359,
64,1,64,decay,14,1280.0,21:20,52.788,55.604,0.486,-0.168,
65,1,65,decay,15,1300.0,21:40,52.6,54.993,-0.188,-0.611,
66,1,66,decay,16,1320.0,22:00,52.719,54.568,0.119,-0.425,
67,1,67,decay,17,1340.0,22:20,52.961,53.993,0.242,-0.576,
68,1,68,decay,18,1360.0,22:40,53.884,53.413,0.923,-0.58,
69,1,69,decay,19,1380.0,23:00,54.147,53.207,0.262,-0.206,
70,1,70,decay,20,1400.0,23:20,54.971,52.108,0.824,-1.099,
71,1,71,decay,21,1420.0,23:40,54.81,51.532,-0.162,-0.575,
72,2,0,self_report,0,0.0,00:00,55.913,51.721,0.768,0.146,Session opened with fresh context from member.
73,2,1,self_report,1,20.0,00:20,56.265,51.594,0.352,-0.127,
74,2,2,self_report,2,40.0,00:40,56.824,51.456,0.559,-0.138,
75,2,3,self_report,3,60.0,01:00,57.631,51.248,0.807,-0.208,
76,2,4,self_report,4,80.0,01:20,57.778,51.532,0.147,0.284,
77,2,5,self_report,5,100.0,01:40,58.24,51.521,0.462,-0.011,
78,2,6,self_report,6,120.0,02:00,59.101,51.288,0.862,-0.234,
79,2,7,self_report,7,140.0,02:20,59.385,51.097,0.284,-0.191,
80,2,8,self_report,8,160.0,02:40,59.657,50.479,0.273,-0.617,
81,2,9,self_report,9,180.0,03:00,58.927,49.67,-0.73,-0.809,
82,2,10,self_report,10,200.0,03:20,59.658,49.335,0.73,-0.335,
83,2,11,self_report,11,220.0,03:40,59.749,48.646,0.091,-0.689,
84,2,12,self_report,12,240.0,04:00,58.766,48.596,-0.983,-0.05,
85,2,13,self_report,13,260.0,04:20,59.798,48.819,1.032,0.223,
86,2,14,self_report,14,280.0,04:40,59.52,48.431,-0.278,-0.388,
87,2,15,self_report,15,300.0,05:00,59.817,48.417,0.297,-0.015,
88,2,16,self_report,16,320.0,05:20,59.941,48.098,0.124,-0.318,
89,2,17,corroboration,0,340.0,05:40,60.388,47.3,0.448,-0.798,Evidence corroborated; RR accelerating.
90,2,18,corroboration,1,360.0,06:00,61.583,47.392,1.195,0.092,
91,2,19,corroboration,2,380.0,06:20,62.98,45.995,1.396,-1.396,
92,2,20,corroboration,3,400.0,06:40,63.941,45.108,0.961,-0.888,
93,2,21,corroboration,4,420.0,07:00,64.781,45.1,0.84,-0.008,
94,2,22,corroboration,5,440.0,07:20,66.046,44.496,1.265,-0.605,
95,2,23,corroboration,6,460.0,07:40,67.428,43.41,1.383,-1.086,
96,2,24,corroboration,7,480.0,08:00,67.904,43.008,0.476,-0.402,
97,2,25,corroboration,8,500.0,08:20,68.738,42.983,0.834,-0.025,
98,2,26,corroboration,9,520.0,08:40,69.696,42.075,0.957,-0.908,
99,2,27,corroboration,10,540.0,09:00,70.817,41.698,1.122,-0.377,
100,2,28,corroboration,11,560.0,09:20,71.366,41.25,0.549,-0.447,
101,2,29,corroboration,12,580.0,09:40,71.408,40.783,0.042,-0.467,
102,2,30,corroboration,13,600.0,10:00,72.557,40.63,1.149,-0.153,
103,2,31,corroboration,14,620.0,10:20,74.497,40.347,1.939,-0.283,
104,2,32,corroboration,15,640.0,10:40,75.496,40.423,1.0,0.077,
105,2,33,corroboration,16,660.0,11:00,76.402,39.556,0.905,-0.867,
106,2,34,corroboration,17,680.0,11:20,76.859,39.055,0.457,-0.501,
107,2,35,corroboration,18,700.0,11:40,77.36,37.542,0.502,-1.513,
108,2,36,contradiction,0,720.0,12:00,74.763,40.488,-2.597,2.946,Contradiction surfaced; recalibrating plan.
109,2,37,contradiction,1,740.0,12:20,73.057,42.117,-1.705,1.629,
110,2,38,contradiction,2,760.0,12:40,71.962,43.597,-1.096,1.48,
111,2,39,contradiction,3,780.0,13:00,69.852,44.939,-2.11,1.342,
112,2,40,contradiction,4,800.0,13:20,68.038,46.32,-1.814,1.381,
113,2,41,contradiction,5,820.0,13:40,65.983,48.177,-2.055,1.857,
114,2,42,contradiction,6,840.0,14:00,63.384,49.803,-2.599,1.626,
115,2,43,contradiction,7,860.0,14:20,61.913,51.394,-1.471,1.591,
116,2,44,contradiction,8,880.0,14:40,58.754,53.052,-3.159,1.658,
117,2,45,contradiction,9,900.0,15:00,56.669,54.498,-2.084,1.446,
118,2,46,contradiction,10,920.0,15:20,53.749,56.674,-2.921,2.176,
119,2,47,contradiction,11,940.0,15:40,51.633,58.057,-2.115,1.383,
120,2,48,contradiction,12,960.0,16:00,49.921,60.553,-1.712,2.496,
121,2,49,contradiction,13,980.0,16:20,50.263,62.2,0.341,1.647,
122,2,50,decay,0,1000.0,16:40,50.491,61.398,0.229,-0.802,Follow-ups scheduled; natural decay begins.
123,2,51,decay,1,1020.0,17:00,50.325,60.913,-0.167,-0.485,
124,2,52,decay,2,1040.0,17:20,50.329,60.337,0.004,-0.576,
125,2,53,decay,3,1060.0,17:40,50.832,59.739,0.504,-0.598,
126,2,54,decay,4,1080.0,18:00,51.087,59.046,0.254,-0.694,
127,2,55,decay,5,1100.0,18:20,51.108,58.874,0.021,-0.171,
128,2,56,decay,6,1120.0,18:40,51.651,58.318,0.543,-0.557,
129,2,57,decay,7,1140.0,19:00,51.873,57.919,0.222,-0.399,
130,2,58,decay,8,1160.0,19:20,51.742,57.492,-0.131,-0.427,
131,2,59,decay,9,1180.0,19:40,51.914,56.979,0.172,-0.513,
132,2,60,decay,10,1200.0,20:00,52.405,56.658,0.491,-0.321,
133,2,61,decay,11,1220.0,20:20,52.815,56.097,0.409,-0.561,
134,2,62,decay,12,1240.0,20:40,53.646,55.654,0.831,-0.442,
135,2,63,decay,13,1260.0,21:00,54.057,55.255,0.411,-0.399,
136,2,64,decay,14,1280.0,21:20,53.817,54.96,-0.24,-0.296,
137,2,65,decay,15,1300.0,21:40,53.875,54.814,0.058,-0.146,
138,2,66,decay,16,1320.0,22:00,53.62,54.169,-0.254,-0.645,
139,2,67,decay,17,1340.0,22:20,53.986,53.285,0.366,-0.884,
140,2,68,decay,18,1360.0,22:40,54.073,53.215,0.087,-0.07,
141,2,69,decay,19,1380.0,23:00,53.899,52.993,-0.174,-0.222,
142,2,70,decay,20,1400.0,23:20,54.981,52.565,1.082,-0.428,
143,2,71,decay,21,1420.0,23:40,55.189,52.487,0.208,-0.078,
144,3,0,self_report,0,0.0,00:00,53.833,50.401,0.213,-0.008,Session opened with fresh context from member.
145,3,1,self_report,1,20.0,00:20,54.289,49.613,0.456,-0.788,
146,3,2,self_report,2,40.0,00:40,54.55,49.711,0.261,0.098,
147,3,3,self_report,3,60.0,01:00,54.972,49.435,0.422,-0.276,
148,3,4,self_report,4,80.0,01:20,55.128,49.341,0.156,-0.094,
149,3,5,self_report,5,100.0,01:40,55.483,49.277,0.355,-0.064,
150,3,6,self_report,6,120.0,02:00,55.837,48.982,0.354,-0.295,
151,3,7,self_report,7,140.0,02:20,55.627,49.109,-0.21,0.127,
152,3,8,self_report,8,160.0,02:40,56.456,49.014,0.829,-0.095,
153,3,9,self_report,9,180.0,03:00,56.121,49.173,-0.335,0.159,
154,3,10,self_report,10,200.0,03:20,56.652,49.77,0.531,0.597,
155,3,11,self_report,11,220.0,03:40,57.075,48.708,0.423,-1.062,
156,3,12,self_report,12,240.0,04:00,57.583,48.656,0.507,-0.052,
157,3,13,self_report,13,260.0,04:20,57.716,48.509,0.133,-0.147,
158,3,14,self_report,14,280.0,04:40,58.457,48.303,0.741,-0.206,
159,3,15,self_report,15,300.0,05:00,58.975,48.681,0.519,0.378,
160,3,16,self_report,16,320.0,05:20,59.949,47.903,0.974,-0.778,
161,3,17,corroboration,0,340.0,05:40,61.434,47.324,1.484,-0.579,Evidence corroborated; RR accelerating.
